"FUZE Fabric #","Wash","Customer Fabric Code","Factory Fabric Code","Brand","Textile Mill (Treatment)","Application Method","Application Recipe","Fabric Content #1","% Content 1","Fabric Content #2","% Content 2","Fabric Content #3","% Content 3","Fabric Finish Note","Fabric Construction Description","Fabric Color","Fuze Treatment Location","Fuze Application Date","Fabric Submission Document","Fabric Submission Document : URL","Fabric Submission Image","Fabric Submission Image : URL","Textile Mill","Full Width","Weight (gsm)","Yarn / Filament","Note","Fuze application Date","Fuze treatment Location","Weight
(gsm) ","Pad Recipe","Production Trial Completed","ICP Sent","ICP RCVD","ICP Passed","AMB Sent","AMB RCVD","AMB Pass","Category","Program Name"," Status Note","STATUS","PTC#","ICP Sent#","ICP RCVD#","ICP Passed#","AMB Sent#","AMB RCVD#","AMB PASS#","Progress Count","Progress Percentage","Progress Percentage Numeric","Record ID"
"1219","0","233tc Keeco","","Keeco","","spray","1.2 ppm 5 pump 15 Fabric - ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","Yes","Yes","No","","","Yes","","","","","0","1","1","0","0","0","1","3","42.86%","43","67772e031aeaaf02c8b3d92c"
"1220","10","233tc Keeco","","Keeco","","spray","1.2 ppm 5 pump 15 Fabric - ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","Yes","","","","","0","0","0","0","0","0","1","1","14.29%","14","67772e041aeaaf02c8b3d932"
"1221","0","233tc Keeco","","Keeco","","spray","1 ppm 7.5 pump 15 Fabric - ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d935"
"1222","10","233tc Keeco","","Keeco","","spray","1 ppm 7.5 pump 15 Fabric - ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d938"
"1223","0","233tc Keeco","","Keeco","","spray","1 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d93b"
"1224","10","233tc Keeco","","Keeco","","spray","1 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d93e"
"1225","0","233tc Keeco","","Hollander Sleep Products","","spray","1 ppm 10 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d941"
"1226","10","233tc Keeco","","Keeco","","spray","1 ppm 10 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d944"
"1227","0","233tc Keeco","","Keeco","","spray","2 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d947"
"1228","10","233tc Keeco","","Keeco","","spray","2 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d94a"
"1229","0","233tc Keeco","","Keeco","","spray","2 ppm 10 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d94d"
"1230","10","233tc Keeco","","Keeco","","spray","2 ppm 10 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","HD","64""","135","","","12/10/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d950"
"1231","0","233tc Hollander","","Hollander Sleep Products","","spray","5 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","-","101""","135","","","12/18/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d953"
"1232","10","233tc Hollander","","Hollander Sleep Products","","spray","5 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","-","101""","135","","","12/18/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d956"
"1233","0","300tc","","Hollander Sleep Products","","spray","5 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","Bleached White","","01/02/2025","","","","","-","84""*","135","","","12/18/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d959"
"1234","0","300tc","","Hollander Sleep Products","","spray","5 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Cotton","100%","","0%","","0%","","Woven","Bleached White","","01/02/2025","","","","","-","84""*","135","","","12/18/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d95c"
"1235","0","300D Polyester","","Hollander Sleep Products","","spray","5 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Polyester","100%","","0%","","0%","","Woven","Fuschia","","01/02/2025","","","","","-","92""*","140","","","12/18/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d95f"
"1236","0","75Dx150D Polyester","","Hollander Sleep Products","","spray","5 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Polyester","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","-","-","0","","","12/18/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d962"
"1237","0","75Dx150D Polyester","","Hollander Sleep Products","","spray","5 ppm 5 pump 15 Fabric 0.02 ISO Air/Other","Polyester","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","-","92""*","85","","","12/18/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d965"
"1238","0","CC2004","","Coolcore","","spray","2.5 ppm 20 pump 20 Fabric - ISO Air/Other","Polyester","100%","","0%","","0%","","Knit","White","","01/02/2025","","","","","New Kasum","69""","140","","","12/4/18","New Kasum","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e041aeaaf02c8b3d968"
"1239","0","CC2004","","Coolcore","","spray","2.5 ppm 13 pump 20 Fabric - ISO Air/Other","Polyester","100%","","0%","","0%","","Knit","White","","01/02/2025","","","","","New Kasum","69""","140","","","12/4/18","New Kasum","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e051aeaaf02c8b3d96b"
"1240","0","CC2004","","Coolcore","","spray","2.5 ppm 10 pump 20 Fabric - ISO Air/Other","Polyester","100%","","0%","","0%","","Knit","White","","01/02/2025","","","","","New Kasum","69""","140","","","12/4/18","New Kasum","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e051aeaaf02c8b3d96e"
"1241","0","CC2004","","Coolcore","","spray","2.5 ppm 5 pump 20 Fabric - ISO Air/Other","Polyester","100%","","0%","","0%","","Knit","White","","01/02/2025","","","","","New Kasum","69""","140","","","12/4/18","New Kasum","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e051aeaaf02c8b3d971"
"1242","0","CC3199","","Coolcore","","spray","2 ppm 10 pump 20 Fabric - ISO Air/Other","Polyester","92%","Spandex","8%","","0%","","Knit","Black","","01/02/2025","","","","","New Kasum","60""","125","","","12/11/18","New Kasum","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e051aeaaf02c8b3d974"
"1243","0","CC3199","","Coolcore","","spray","2 ppm 16 pump 20 Fabric - ISO Air/Other","Polyester","92%","Spandex","8%","","0%","","Knit","Black","","01/02/2025","","","","","New Kasum","60""","125","","","12/11/18","New Kasum","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e051aeaaf02c8b3d977"
"1244","0","300D Polyester","","Hollander Sleep Products","","spray","5 ppm 10 pump 15 Fabric 0.02 ISO Air/Other","Polyester","100%","","0%","","0%","","Woven","Fuschia","","01/02/2025","","","","","-","92""*","140","","","12/18/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e051aeaaf02c8b3d97a"
"1245","0","300D Polyester","","","","spray","5 ppm 10 pump 15 Fabric 0.02 ISO Air/Other","Polyester","100%","","0%","","0%","","Woven","Fuschia","","01/02/2025","","","","","-","92""*","140","","","12/18/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e051aeaaf02c8b3d97d"
"1246","0","75Dx150D Polyester","","","","spray","5 ppm 10 pump 15 Fabric 0.02 ISO Air/Other","Polyester","100%","","0%","","0%","","Woven","White","","01/02/2025","","","","","-","-","0","","","12/18/18","WldTex","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0.00%","0","67772e051aeaaf02c8b3d980"
