"Date","Notes","Add Task or Meeting","Task or meeting","Tasks or Meeting Types","Task/Meeting Due Date","Contact","Task Status","Task Update","Sales Rep","Record ID"
"08/02/2022","Confirmed through email that they are no longer interested","No","","","","","Pending","","Steve Savage","5a5933ffdab80b2fa7ffd0b5"
"07/26/2022","Didn't show up for first meeting","No","","","","","Pending","","Steve Savage","5a5933ffdab80b2fa7ffd0b7"
"04/20/2023","Updated pipeline status to ""Proposal""","No","","","","","Pending","","Andrew Peterson","5a5933ffdab80b2fa7ffd0b9"
"07/02/2023","Updated pipeline status to ""Customer/Won""","No","","","","","Pending","","Andrew Peterson","5a5933ffdab80b2fa7ffd0bb"
"06/22/2023","Discussed proposal details. Need to review with team.","Yes","Meeting","Meetup","08/22/2023 10:30am to 11:45am","","Completed","","Andrew Peterson","5a5933ffdab80b2fa7ffd0bd"
"03/30/2023","","Yes","Task","Meetup","04/22/2023 6:00pm to 04/23/2023 8:00pm","","Completed","","Steve Savage","5a5933ffdab80b2fa7ffd0bf"
"05/02/2023","Updated pipeline status to ""Proposal""","No","","","","","Completed","","Andrew Peterson","5a593400dab80b2fa7ffd0c1"
"03/03/2023","","Yes","Task","Follow Up Email","03/31/2023","","Completed","","Andrew Peterson","5a593400dab80b2fa7ffd0c3"
"07/02/2023","Want to be sure to communicate weekly.","Yes","Meeting","Meetup","07/06/2023","","Pending","","Andrew Peterson","5a593400dab80b2fa7ffd0c5"
"04/01/2023","Was introduced at textile conference.","Yes","Task","Tech Demo","04/09/2023 3:45pm to 4:45pm","","Completed","Great demo. All they needed to seal the deal.<br />","Steve Savage","5a593400dab80b2fa7ffd0c7"
"02/21/2023","","Yes","Task","Tech Demo","02/20/2023","","Pending","","Steve Savage","5a593400dab80b2fa7ffd0c9"
"06/13/2023","Demo went really well","Yes","Meeting","Tech Demo","06/20/2023 10:00am to 11:30am","","Completed","","Andrew Peterson","5a593400dab80b2fa7ffd0cb"
"03/08/2023","Discuss project","Yes","","Lunch Meeting","03/15/2023 11:45am to 12:30pm","","Completed","","Andrew Peterson","5a593400dab80b2fa7ffd0cd"
"06/30/2023","Updated pipeline status to ""Proposal""","No","","","","","Pending","","Andrew Peterson","5a593400dab80b2fa7ffd0cf"
"12/18/2024","Updated pipeline status to ""Customer/Won""","No","","","12/18/2024 2:10pm","Greyson Clothiers LLC","Pending","","","67633a377940eb02cf7a5ad8"
"10/15/2025","Arcteryx Team on the call: <br />Colby Hart, Innovations Team<br />Ben Godwin, Polymer Chemist<br /><br />FUZE Team on the call:<br />Andrew Petersen<br />Scott Pace<br />David Nilson<br />Ryan Prince<br /><br />Very good hour conversation about FUZE and our method of action.  Ben understood Sulphur Sequestration.  Follow up meeting requested for late October.  TBD. ","Yes","","Phone Call","09/18/2025 12:00pm to 1:00pm","Arcteryx","Pending","","Andrew Peterson","68efd3b0b74ceb3c8b41e859"
