"Test Number","Brand","Textile Mill","Fabric Database","Labratory","Fuze Fabric Number","Wash","Number of Washes","Test Method","Test Method (dropdown)","Test Report #","Tested Bacteria #1","Antimicrobial Result #1","Tested Bacteria","Tested Bacteria #2","Antibacterial Result #2","Written Result (Fungal Testing)","Tested Odor","Tested Metal","ICP (Ag) Result","ICP (Au) Result","Fuze Internal Report #","Date","Date (post wash)","Testing Labratory","Fuze Application Date","Report 1","Report 1 : URL","Report 2","Report 2 : URL","Report 3","Report 3 : URL","Report 4","Report 4 : URL","Image","Image : URL","Ag Serial #","Au Serial #","Fungal Serial #","Machine Type","Post Wash Report #","Ag","Record ID"
"1","Keeco","Zhejiang Texwell Textile Co.","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00755197","E-coli (ATCC 8739)","37%","E-coli","NONE","","N/A","NONE","Silver (Ag)","0.050","0.005","","01/09/2025","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758235","1/18/19","67777cf6126ae702d825afa3"
"2","","Zhejiang Texwell Textile Co.","","ITS - Taiwan","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00758235","E-coli (ATCC 8739)","33%","E-coli","NONE","","N/A","NONE","Silver (Ag)","0.500","","","01/09/2025","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758235","1/18/19","67777cf6126ae702d825afa7"
"3","","Zhejiang Texwell Textile Co.","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00755199","E-coli (ATCC 8739)","57%","E-coli","NONE","","N/A","NONE","Silver (Ag)","0.500","","","","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758251","1/18/19","67777cf6126ae702d825afab"
"4","","Zhejiang Texwell Textile Co.","","ITS - Taiwan","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00758251","E-coli (ATCC 8739)","46%","E-coli","","","","","","","","","","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758251","1/18/19","67777cf6126ae702d825afb1"
"5","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00755200","E-coli (ATCC 8739)","63%","E-coli","","","","","","","","","","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758252","1/18/19","67777cf6126ae702d825afb5"
"6","","","","ITS - Taiwan","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00758252","E-coli (ATCC 8739)","50%","E-coli","","","","","","","","","","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758252","1/18/19","67777cf6126ae702d825afb9"
"7","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00755201","E-coli (ATCC 8739)","67%","E-coli","","","","","","","","","","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758253","1/18/19","67777cf7126ae702d825afbf"
"8","","","","ITS - Taiwan","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00758253","E-coli (ATCC 8739)","52%","E-coli","","","","","","","","","","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758253","1/18/19","67777cf7126ae702d825afc3"
"9","","","","ITS - Taiwan","","0","0 Wash","ASTM E2149","ASTM E2149","TWNC00755202","E-coli (ATCC 8739)","66%","E-coli","","","","","","","","","","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758254","1/18/19","67777cf7126ae702d825afc7"
"10","","","","","","10","10 Wash","ASTM E2149","ASTM E2149","TWNC00758254","E-coli (ATCC 8739)","53%","E-coli","","","","","","","","","","","ITS TW","12/10/2018","","","","","","","","","","","","","","MISTI Batch","TWNC00758254","1/18/19","67777cf7126ae702d825afcb"
